,,,,,,,,,,,,,,,,,
Most Used Page,Had Free Trial,User MRR,Weekly Logins,Company Name,Industry,Company Size,Territory,Sales Call in Trial,Slack Integration,Salesforce Integration,Gmail Integration,Most common referrer,Sales Touches to Close,Used Admin Panel,Has Issued Support Request,,
/home,Yes,169,9,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,Yes,/quora,5,No,Yes,,
/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,Yes,Yes,/slack.com,10,No,Yes,,
/tool/storyboard,Yes,1299,11,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,Yes,Yes,zoom.com,16,No,Yes,,
/tool/storyboard,No,169,6,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,Yes,No,zoom.com,8,Yes,Yes,,
/tool/storyboard,No,39,3,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,Yes,No,zoom.com,6,No,No,,
/tool/storyboard,Yes,39,8,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,No,Yes,/slack.com,15,No,Yes,,
/tool/build_query,No,39,0,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,zoom.com,14,No,Yes,,
/login,Yes,39,10,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/facebook.com,15,No,Yes,,
/tool/storyboard,No,39,7,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,/facebook.com,6,No,Yes,,
/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,/facebook.com,10,Yes,No,,
/tool/storyboard,Yes,169,8,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,No,Yes,/tripadvisor.com,14,No,No,,
/tool/storyboard,Yes,169,15,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,Yes,Yes,/tripadvisor.com,12,No,No,,
/tool/storyboard,Yes,39,13,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,/google.com,15,Yes,No,,
/login,Yes,39,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,/quora,6,No,Yes,,
/login,Yes,39,9,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,/mail.google.com,6,Yes,No,,
/tool/storyboard,Yes,169,10,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,No,/quora,16,No,No,,
/tool/storyboard,Yes,39,14,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,zoom.com,6,Yes,Yes,,
/tool/build_query,Yes,39,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,Yes,hotels.com,14,Yes,No,,
/dashboard,No,169,2,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,hotels.com,14,No,Yes,,
/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,/google.com,14,No,No,,
/tool/storyboard,No,39,6,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/slack.com,16,Yes,Yes,,
/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,zoom.com,6,No,No,,
/tool/storyboard,No,39,5,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,No,zoom.com,9,No,No,,
/tool/storyboard,No,1299,3,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,Yes,Yes,/facebook.com,4,Yes,Yes,,
/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,Yes,Yes,/slack.com,11,Yes,No,,
/tool/storyboard,No,169,2,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/facebook.com,15,No,Yes,,
/tool/storyboard,No,169,6,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,Yes,Yes,hotels.com,15,Yes,Yes,,
/tool/storyboard,No,39,3,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/slack.com,4,No,Yes,,
/tool/storyboard,Yes,39,13,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,zoom.com,4,No,No,,
/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,No,/google.com,16,No,No,,
/tool/search,Yes,169,9,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,No,Yes,/google.com,16,No,Yes,,
/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,Yes,No,/tripadvisor.com,5,Yes,Yes,,
/tool/storyboard,No,39,3,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/facebook.com,10,Yes,No,,
/tool/storyboard,Yes,39,11,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,Yes,/quora,12,Yes,Yes,,
/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,Yes,No,/slack.com,5,No,No,,
/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,Yes,No,hotels.com,14,No,No,,
/login,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,zoom.com,12,Yes,Yes,,
/tool/storyboard,No,169,5,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/slack.com,14,Yes,No,,
/tool/storyboard,No,1299,3,Hushmail,Technology,$100M - $500M,West,No,No,Yes,No,/facebook.com,4,No,No,,
/dashboard,No,39,1,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,No,/facebook.com,13,No,No,,
/login,Yes,169,7,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,No,/slack.com,6,Yes,No,,
/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,/mail.google.com,8,No,Yes,,
/tool/storyboard,Yes,39,13,Hushmail,Technology,$100M - $500M,West,No,Yes,No,No,zoom.com,7,Yes,Yes,,
/tool/storyboard,Yes,169,13,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,Yes,/quora,13,No,No,,
/tool/storyboard,No,39,6,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/slack.com,10,Yes,No,,
/home,No,169,2,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,/quora,5,No,No,,
/tool/storyboard,Yes,169,12,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,/mail.google.com,6,Yes,No,,
/home,No,39,1,Hushmail,Technology,$100M - $500M,West,Yes,No,No,Yes,/slack.com,8,Yes,No,,
/tool/storyboard,No,169,7,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/quora,12,Yes,Yes,,
/tool/search,No,39,4,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/tripadvisor.com,9,No,No,,
/tool/storyboard,Yes,1299,5,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,No,/quora,6,No,Yes,,
/tool/build_query,No,1299,3,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,No,/slack.com,12,No,Yes,,
/tool/storyboard,No,169,4,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,/google.com,16,No,No,,
/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/slack.com,14,No,No,,
/tool/storyboard,No,1299,3,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,Yes,/tripadvisor.com,4,No,No,,
/tool/build_query,No,169,1,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,zoom.com,8,Yes,Yes,,
/tool/storyboard,Yes,169,11,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,No,/tripadvisor.com,16,No,Yes,,
/tool/storyboard,No,169,4,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/google.com,11,No,No,,
/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,No,No,Yes,No,/quora,13,No,Yes,,
/tool/search,No,169,0,Hushmail,Technology,$100M - $500M,West,Yes,No,No,Yes,zoom.com,12,Yes,No,,
/tool/storyboard,No,169,3,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,hotels.com,5,Yes,No,,
/tool/storyboard,Yes,169,11,Hushmail,Technology,$100M - $500M,West,No,Yes,No,Yes,hotels.com,11,Yes,No,,
/tool/storyboard,No,39,6,Hushmail,Technology,$100M - $500M,West,No,No,Yes,No,/facebook.com,16,Yes,Yes,,
/tool/storyboard,Yes,39,11,Hushmail,Technology,$100M - $500M,West,No,Yes,No,No,/mail.google.com,12,No,Yes,,
/tool/storyboard,Yes,39,12,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,Yes,/google.com,12,No,No,,
/tool/storyboard,No,169,7,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,/mail.google.com,11,No,No,,
/tool/storyboard,No,169,5,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,hotels.com,9,Yes,Yes,,
/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,zoom.com,4,Yes,No,,
/tool/storyboard,No,39,6,Hushmail,Technology,$100M - $500M,West,Yes,No,No,Yes,/slack.com,13,No,No,,
/tool/storyboard,Yes,39,14,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,/mail.google.com,15,Yes,Yes,,
/tool/storyboard,Yes,169,13,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/quora,15,No,Yes,,
/tool/storyboard,Yes,39,13,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,Yes,/slack.com,9,No,Yes,,
/tool/build_query,No,169,4,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,/mail.google.com,4,Yes,No,,
/tool/storyboard,Yes,39,16,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,Yes,/facebook.com,13,No,No,,
/tool/storyboard,No,1299,6,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/tripadvisor.com,12,No,No,,
/tool/storyboard,No,169,4,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,Yes,/quora,4,Yes,Yes,,
/tool/storyboard,No,169,3,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,zoom.com,14,No,Yes,,
/tool/storyboard,Yes,39,11,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,Yes,hotels.com,8,Yes,Yes,,
/home,No,39,1,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/tripadvisor.com,16,Yes,No,,
/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/tripadvisor.com,7,No,Yes,,
/login,No,169,3,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,Yes,/mail.google.com,7,Yes,Yes,,
/tool/storyboard,No,169,5,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,hotels.com,5,No,Yes,,
/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,No,hotels.com,16,Yes,No,,
/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,No,No,No,No,hotels.com,10,No,No,,
/tool/storyboard,No,39,5,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,/slack.com,13,No,Yes,,
/tool/storyboard,No,39,7,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,zoom.com,7,Yes,No,,
/tool/storyboard,Yes,39,14,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,/mail.google.com,14,Yes,No,,
/tool/storyboard,Yes,169,12,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,zoom.com,13,Yes,Yes,,
/tool/build_query,Yes,39,4,Hushmail,Technology,$100M - $500M,West,Yes,No,No,Yes,/google.com,15,No,Yes,,
/tool/storyboard,Yes,39,14,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,No,/tripadvisor.com,13,Yes,Yes,,
/tool/storyboard,Yes,169,9,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,Yes,/slack.com,11,No,No,,
/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,zoom.com,13,Yes,No,,
/tool/build_query,Yes,39,3,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,Yes,/facebook.com,11,Yes,Yes,,
/tool/storyboard,No,39,3,Hushmail,Technology,$100M - $500M,West,Yes,No,No,Yes,zoom.com,7,Yes,Yes,,
/tool/storyboard,No,1299,6,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,zoom.com,11,No,Yes,,
/tool/storyboard,No,169,7,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,hotels.com,8,Yes,Yes,,
/tool/storyboard,No,169,4,Hushmail,Technology,$100M - $500M,West,No,No,Yes,No,hotels.com,8,Yes,Yes,,
/dashboard,Yes,169,13,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,Yes,/slack.com,16,No,Yes,,
/tool/storyboard,No,169,5,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/mail.google.com,15,No,No,,
/tool/storyboard,No,39,5,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/google.com,16,No,No,,
/tool/storyboard,No,1299,6,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,/tripadvisor.com,6,No,Yes,,
/tool/storyboard,No,39,5,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/mail.google.com,15,No,Yes,,
/tool/storyboard,No,169,2,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/quora,4,No,Yes,,
/tool/storyboard,Yes,1299,7,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,Yes,/google.com,10,Yes,Yes,,
/tool/storyboard,No,169,4,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/quora,14,Yes,No,,
/tool/storyboard,Yes,169,12,Hushmail,Technology,$100M - $500M,West,No,Yes,No,Yes,/mail.google.com,16,Yes,No,,
/login,No,169,0,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/tripadvisor.com,14,No,No,,
/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,No,/quora,14,Yes,Yes,,
/tool/storyboard,Yes,39,9,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,No,/tripadvisor.com,12,No,No,,
/tool/storyboard,No,169,3,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/mail.google.com,11,No,Yes,,
/tool/storyboard,Yes,39,8,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,Yes,/mail.google.com,4,No,Yes,,
/tool/storyboard,No,39,3,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,zoom.com,10,No,No,,
/tool/storyboard,No,39,5,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/google.com,16,No,No,,
/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,Yes,No,No,Yes,/facebook.com,11,No,Yes,,
/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,No,No,Yes,No,/quora,9,No,Yes,,
/tool/storyboard,No,39,6,Hushmail,Technology,$100M - $500M,West,No,No,No,No,zoom.com,15,No,Yes,,
/tool/storyboard,No,169,3,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,/quora,7,No,Yes,,
/tool/storyboard,No,39,3,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,/tripadvisor.com,12,No,No,,
/tool/storyboard,Yes,169,7,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,/slack.com,10,Yes,Yes,,
/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,No,No,Yes,No,/facebook.com,6,Yes,No,,
/tool/storyboard,Yes,39,9,InVision,Technology,$100M - $500M,East,No,Yes,No,No,/tripadvisor.com,12,Yes,Yes,,
/tool/storyboard,No,39,5,InVision,Technology,$100M - $500M,East,No,No,Yes,Yes,zoom.com,12,No,Yes,,
/tool/storyboard,No,39,4,InVision,Technology,$100M - $500M,East,No,No,No,Yes,zoom.com,4,No,Yes,,
/dashboard,No,169,4,InVision,Technology,$100M - $500M,East,Yes,No,No,Yes,/mail.google.com,15,Yes,No,,
/tool/storyboard,No,39,4,InVision,Technology,$100M - $500M,East,Yes,No,No,Yes,/mail.google.com,11,No,No,,
/tool/storyboard,Yes,169,6,InVision,Technology,$100M - $500M,East,No,Yes,No,No,zoom.com,16,Yes,Yes,,
/tool/storyboard,No,39,7,InVision,Technology,$100M - $500M,East,Yes,No,No,No,/google.com,7,No,Yes,,
/tool/search,Yes,39,3,InVision,Technology,$100M - $500M,East,Yes,Yes,No,No,zoom.com,12,No,No,,
/tool/storyboard,No,169,4,InVision,Technology,$100M - $500M,East,No,No,Yes,Yes,/google.com,13,Yes,No,,
/tool/storyboard,Yes,1299,6,InVision,Technology,$100M - $500M,East,No,No,Yes,No,/facebook.com,11,No,No,,
/login,No,169,3,InVision,Technology,$100M - $500M,East,Yes,No,Yes,Yes,zoom.com,7,No,No,,
/tool/storyboard,No,169,6,InVision,Technology,$100M - $500M,East,Yes,No,Yes,Yes,/google.com,16,Yes,No,,
/tool/storyboard,Yes,1299,10,InVision,Technology,$100M - $500M,East,Yes,Yes,No,No,/mail.google.com,11,Yes,Yes,,
/tool/storyboard,Yes,39,6,InVision,Technology,$100M - $500M,East,Yes,Yes,Yes,Yes,/slack.com,13,Yes,Yes,,
/tool/storyboard,Yes,39,15,InVision,Technology,$100M - $500M,East,No,Yes,No,Yes,/mail.google.com,5,Yes,No,,
/tool/storyboard,Yes,39,8,InVision,Technology,$100M - $500M,East,No,Yes,No,No,/mail.google.com,13,No,No,,
/tool/search,No,39,0,InVision,Technology,$100M - $500M,East,Yes,No,Yes,Yes,/mail.google.com,16,No,Yes,,
/tool/storyboard,No,39,3,InVision,Technology,$100M - $500M,East,Yes,No,No,Yes,/mail.google.com,15,Yes,No,,
/tool/storyboard,Yes,169,11,InVision,Technology,$100M - $500M,East,No,Yes,No,Yes,/slack.com,5,Yes,Yes,,
/tool/storyboard,Yes,1299,7,InVision,Technology,$100M - $500M,East,No,Yes,No,No,/slack.com,16,Yes,Yes,,
/tool/storyboard,Yes,39,7,InVision,Technology,$100M - $500M,East,No,No,No,Yes,hotels.com,6,No,No,,
/dashboard,No,39,1,InVision,Technology,$100M - $500M,East,No,No,Yes,No,hotels.com,16,No,No,,
/tool/storyboard,Yes,169,13,InVision,Technology,$100M - $500M,East,Yes,Yes,No,Yes,hotels.com,15,No,Yes,,
/tool/storyboard,No,169,4,InVision,Technology,$100M - $500M,East,No,No,Yes,Yes,hotels.com,10,Yes,No,,
/tool/storyboard,Yes,169,11,InVision,Technology,$100M - $500M,East,No,Yes,Yes,No,zoom.com,16,No,No,,
/tool/storyboard,No,169,4,InVision,Technology,$100M - $500M,East,No,No,No,No,/quora,11,Yes,No,,
/tool/storyboard,No,39,2,InVision,Technology,$100M - $500M,East,Yes,No,Yes,No,/tripadvisor.com,7,No,Yes,,
